,order_date
2523,11
2524,4
2525,12
2526,9
2527,3
2528,1
2529,9
2530,11
2531,3
2532,10
2533,12
2534,11
2535,3
2536,5
2537,11
2538,6
2539,4
2540,11
2541,12
2542,1
2543,8
2544,9
2545,5
2546,12
2547,8
2548,11
2549,4
2550,5
2551,12
2552,6
2553,8
2554,1
2555,3
2556,3
2557,9
2558,7
2559,10
2560,11
2561,11
2562,8
2563,4
2564,8
2565,11
2566,9
2567,4
2568,12
2569,10
2570,10
2571,9
2572,8
2573,9
2574,6
2575,10
2576,6
2577,12
2578,4
2579,1
2580,4
2581,10
2582,9
2583,3
2584,4
2585,12
2586,12
2587,8
2588,1
2589,12
2590,11
2591,8
2592,4
2593,10
2594,6
2595,10
2596,10
2597,2
2598,5
2599,2
2600,4
2601,4
2602,6
2603,11
2604,11
2605,12
2606,6
2607,5
2608,11
2609,5
2610,7
2611,10
2612,10
2613,8
2614,5
2615,6
2616,7
2617,7
2618,7
2619,6
2620,8
2621,12
2622,9
2623,8
2624,4
2625,10
2626,8
2627,8
2628,3
2629,11
2630,8
2631,7
2632,3
2633,2
2634,3
2635,3
2636,7
2637,4
2638,6
2639,5
2640,11
2641,9
2642,11
2643,11
2644,12
2645,8
2646,7
2647,8
2648,10
2649,2
2650,4
2651,8
2652,3
2653,9
2654,3
2655,7
2656,12
2657,12
2658,3
2659,6
2660,9
2661,7
2662,3
2663,6
2664,2
2665,5
2666,12
2667,10
2668,2
2669,11
2670,12
2671,10
2672,6
2673,9
2674,12
2675,7
2676,5
2677,3
2678,8
2679,11
2680,8
2681,8
2682,2
2683,10
2684,9
2685,9
2686,11
2687,3
2688,10
2689,9
2690,9
2691,5
2692,4
2693,12
2694,8
2695,1
2696,5
2697,11
2698,2
2699,11
2700,7
2701,11
2702,3
2703,2
2704,1
2705,4
2706,10
2707,7
2708,10
2709,3
2710,6
2711,3
2712,6
2713,6
2714,9
2715,1
2716,4
2717,5
2718,3
2719,6
2720,10
2721,11
2722,3
2723,12
2724,12
2725,10
2726,12
2727,10
2728,1
2729,6
2730,1
2731,11
2732,12
2733,2
2734,2
2735,11
2736,7
2737,11
2738,11
2739,5
2740,6
2741,12
2742,8
2743,12
2744,8
2745,5
2746,6
2747,8
2748,5
2749,8
2750,12
2751,3
2752,3
2753,9
2754,1
2755,3
2756,7
2757,2
2758,9
2759,11
2760,12
2761,7
2762,5
2763,12
2764,9
2765,3
2766,10
2767,10
2768,9
2769,11
2770,9
2771,4
2772,1
2773,8
2774,3
2775,5
2776,9
2777,6
2778,12
2779,9
2780,11
2781,12
2782,11
2783,11
2784,12
2785,11
2786,3
2787,5
2788,11
2789,3
2790,5
2791,11
2792,12
2793,4
2794,1
2795,10
2796,12
2797,4
2798,7
2799,12
2800,9
2801,9
2802,11
2803,10
2804,8
2805,1
2806,4
2807,5
2808,4
2809,2
2810,9
2811,11
2812,3
2813,6
2814,3
2815,3
2816,8
2817,9
2818,6
2819,5
2820,7
2821,11
2822,4
2823,8
2824,3
2825,4
2826,8
2827,1
2828,6
2829,7
2830,2
2831,8
2832,9
2833,3
2834,4
2835,9
2836,8
2837,4
2838,6
2839,3
2840,5
2841,11
2842,5
2843,3
2844,11
2845,1
2846,5
2847,11
2848,9
2849,12
2850,6
2851,5
2852,8
2853,11
2854,2
2855,9
2856,2
2857,6
2858,4
2859,1
2860,10
2861,2
2862,2
2863,4
2864,2
2865,4
2866,9
2867,6
2868,4
2869,12
2870,11
2871,12
2872,11
2873,6
2874,5
2875,3
2876,9
2877,11
2878,11
2879,9
2880,10
2881,3
2882,9
2883,9
2884,11
2885,3
2886,5
2887,6
2888,10
2889,3
2890,4
2891,11
2892,6
2893,12
2894,2
2895,8
2896,11
2897,2
2898,12
2899,7
2900,4
2901,12
2902,9
2903,1
2904,8
2905,6
2906,8
2907,4
2908,5
2909,9
2910,3
2911,12
2912,8
2913,1
2914,8
2915,1
2916,3
2917,10
2918,7
2919,12
2920,6
2921,12
2922,7
2923,12
2924,11
2925,10
2926,8
2927,1
2928,9
2929,3
2930,6
2931,5
2932,11
2933,3
2934,7
2935,8
2936,3
2937,3
2938,11
2939,6
2940,11
2941,6
2942,7
2943,5
2944,4
2945,2
2946,8
2947,5
2948,4
2949,10
2950,11
2951,3
2952,3
2953,9
2954,3
2955,9
2956,6
2957,5
2958,8
2959,9
2960,6
2961,3
2962,8
2963,2
2964,2
2965,10
2966,3
2967,3
2968,10
2969,8
2970,9
2971,4
2972,12
2973,3
2974,7
2975,8
2976,4
2977,9
2978,7
2979,12
2980,11
2981,10
2982,6
2983,2
2984,11
2985,12
2986,9
2987,11
2988,8
2989,8
2990,11
2991,8
2992,8
